playid,down,time,home,team,players,touchdown,yards_togo,total_yds,turnovers,rushing_yds,passing_yds,kicking_xpa,kicking_xpmade,kicking_fga,kicking_fgm
2519,1,Q3 08:32,False,NYG,"[S.Barkley, T.Wilson, D.Kennard]",False,10,0,0,0,0,0,0,0,0
2551,2,Q3 08:01,False,NYG,"[G.Tate, D.Kennard, D.Jones]",False,10,13,0,0,13,0,0,0,0
2575,1,Q3 07:27,False,NYG,"[J.Davis, T.Walker, D.Jones]",False,10,4,0,4,0,0,0,0,0
2607,1,Q3 07:12,False,NYG,"[D.Hand, S.Barkley]",False,10,1,0,1,0,0,0,0,0
2628,2,Q3 06:31,False,NYG,"[R.Okwara, D.Jones]",False,9,0,0,0,0,0,0,0,0
2654,3,Q3 06:23,False,NYG,[J.Coleman],False,9,0,0,0,0,0,0,0,0
2687,1,Q3 06:16,False,NYG,"[C.Jones, S.Barkley]",False,5,1,0,1,0,0,0,0,0
2713,0,,False,,[],False,0,0,0,0,0,0,0,0,0
2736,2,Q3 05:36,False,NYG,"[D.Harrison, S.Barkley, T.Flowers]",False,4,2,0,2,0,0,0,0,0
2757,0,,False,,[],False,0,0,0,0,0,0,0,0,0
2774,3,Q3 04:59,False,NYG,"[D.Jones, E.Engram]",True,2,2,0,0,2,0,0,0,0
2799,0,Q3 04:54,False,NYG,"[D.Slayton, D.Jones]",False,0,0,0,0,0,0,0,0,0
2824,0,Q3 04:54,True,NYG,[A.Rosas],False,0,0,0,0,0,0,0,0,0
2845,1,Q3 04:54,True,DET,"[J.McKissic, G.Haley, M.Stafford]",False,10,5,0,0,5,0,0,0,0
2869,2,Q3 04:20,True,DET,"[D.Tomlinson, J.McKissic]",False,5,-1,0,-1,0,0,0,0,0
2890,3,Q3 03:57,True,DET,"[J.McKissic, G.Haley, M.Stafford]",False,6,3,0,0,3,0,0,0,0
2914,4,Q3 03:16,True,DET,"[J.Peppers, S.Martin]",False,3,0,0,0,0,0,0,0,0
2942,1,Q3 03:08,False,NYG,"[S.Barkley, J.Davis]",False,10,1,0,1,0,0,0,0,0
2963,2,Q3 02:29,False,NYG,"[G.Tate, D.Jones, J.Coleman]",False,9,17,0,0,17,0,0,0,0
2992,1,Q3 01:51,False,NYG,"[S.Barkley, D.Kennard]",False,10,0,0,0,0,0,0,0,0
3013,2,Q3 01:09,False,NYG,"[J.Davis, D.Jones, E.Engram]",False,10,0,0,0,0,0,0,0,0
3035,3,Q3 01:03,False,NYG,[R.Melvin],False,10,0,0,0,0,0,0,0,0
3065,1,Q3 00:38,False,NYG,[N.Solder],False,10,0,0,0,0,0,0,0,0
3121,1,Q3 00:22,False,NYG,"[J.Davis, D.Jones, E.Engram]",False,20,0,0,0,0,0,0,0,0
3154,2,Q3 00:02,False,NYG,"[T.Wilson, D.Jones, E.Engram]",False,20,9,0,0,9,0,0,0,0
3184,0,,False,,[],False,0,0,0,0,0,0,0,0,0
3202,3,Q4 15:00,False,NYG,"[R.Melvin, D.Jones, E.Engram]",False,11,0,0,0,0,0,0,0,0
3224,4,Q4 14:54,False,NYG,"[D.Amendola, Z.DeOssie, R.Dixon]",False,11,0,0,0,0,0,0,0,0
3249,1,Q4 14:46,True,DET,"[M.Jones, M.Golden, M.Stafford]",False,10,6,0,0,6,0,0,0,0
3273,2,Q4 14:11,True,DET,"[D.Baker, T.Johnson]",False,4,14,0,14,0,0,0,0,0
3299,1,Q4 13:42,True,DET,"[T.Johnson, O.Pierre]",False,10,1,0,1,0,0,0,0,0
3320,2,Q4 13:03,True,DET,"[D.Baker, M.Golden, K.Golladay, M.Stafford]",False,9,18,0,0,18,0,0,0,0
3344,1,Q4 12:21,True,DET,"[K.Golladay, M.Stafford]",True,10,41,0,0,41,0,0,0,0
3369,0,Q4 12:12,True,DET,[M.Prater],False,0,0,0,0,0,1,1,0,0
3385,0,Q4 12:12,False,DET,"[R.Ellison, T.Johnson, C.Latimer, S.Martin]",False,0,0,0,0,0,0,0,0,0
3418,1,Q4 12:04,False,NYG,"[B.Fowler, T.Wilson, D.Jones]",False,10,9,0,0,9,0,0,0,0
3447,2,Q4 11:43,False,NYG,"[M.Ford, S.Barkley]",False,1,13,0,13,0,0,0,0,0
3473,1,Q4 11:08,False,NYG,"[G.Tate, C.Jones, D.Jones]",False,10,0,0,0,0,0,0,0,0
3495,2,Q4 11:03,False,NYG,"[G.Tate, D.Jones, J.Coleman]",False,10,9,0,0,9,0,0,0,0
